subject_id,device_id,time_s,time,code
User02,22482,850801,D0010 20:20:01,AHOF
User02,22482,1215728,D0015 01:42:08,AHON
User02,22482,1215733,D0015 01:42:13,AHOF
User02,22482,1233974,D0015 06:46:14,AHON
User02,22482,1233980,D0015 06:46:20,AHOF
User02,22482,1282693,D0015 20:18:13,AHON
User02,22482,1282701,D0015 20:18:21,AHOF
User02,22482,1283409,D0015 20:30:09,AHON
User02,22482,1283415,D0015 20:30:15,AHOF
User02,22482,1289133,D0015 22:05:33,AHON
User02,22482,1289139,D0015 22:05:39,AHOF
User02,22482,1290167,D0015 22:22:47,AHON
User02,22482,1290174,D0015 22:22:54,AHOF
User02,22482,1290438,D0015 22:27:18,AHON
User02,22482,1290445,D0015 22:27:25,AHOF
User02,22482,1290831,D0015 22:33:51,AHON
User02,22482,1290837,D0015 22:33:57,AHOF
User02,22482,1311716,D0016 04:21:56,AHON
User02,22482,1311723,D0016 04:22:03,AHOF
User02,22482,1320155,D0016 06:42:35,AHON
User02,22482,1320161,D0016 06:42:41,AHOF
User02,22482,1320492,D0016 06:48:12,AHON
User02,22482,1368537,D0016 20:08:57,AHON
User02,22482,1368545,D0016 20:09:05,AHOF
User02,22482,1368702,D0016 20:11:42,AHON
User02,22482,1368708,D0016 20:11:48,AHOF
User02,22482,1368723,D0016 20:12:03,AHON
User02,22482,1368727,D0016 20:12:07,AHOF
User02,22482,1375068,D0016 21:57:48,AHON
User02,22482,1375074,D0016 21:57:54,AHOF
User02,22482,1375216,D0016 22:00:16,AHON
User02,22482,1375224,D0016 22:00:24,AHOF
User02,22482,1436831,D0017 15:07:11,AHON
User02,22482,1436840,D0017 15:07:20,AHOF
User02,22482,1437555,D0017 15:19:15,AHON
User02,22482,1437567,D0017 15:19:27,AHOF
User02,22482,1438160,D0017 15:29:20,AHOF
User02,22482,1438160,D0017 15:29:20,AHON
User02,22482,1457842,D0017 20:57:22,AHON
User02,22482,1457850,D0017 20:57:30,AHOF
User02,22482,1458619,D0017 21:10:19,AHON
User02,22482,1458624,D0017 21:10:24,AHOF
User02,22482,1480429,D0018 03:13:49,AHON
User02,22482,1480515,D0018 03:15:15,AHOF
User02,22482,1546407,D0018 21:33:27,AHON
User02,22482,1546419,D0018 21:33:39,AHOF
User02,22482,1546623,D0018 21:37:03,AHON
User02,22482,1546647,D0018 21:37:27,AHOF
User02,22482,1547253,D0018 21:47:33,AHON
User02,22482,1547259,D0018 21:47:39,AHOF
User02,22482,1634278,D0019 21:57:58,AHON
User02,22482,1634286,D0019 21:58:06,AHOF
User02,22482,1718098,D0020 21:14:58,AHON
User02,22482,1718110,D0020 21:15:10,AHOF
User02,22482,1718186,D0020 21:16:26,AHON
User02,22482,1718187,D0020 21:16:27,AHOF
User02,22482,1718228,D0020 21:17:08,AHON
User02,22482,1718233,D0020 21:17:13,AHOF
User02,22482,1718520,D0020 21:22:00,AHON
User02,22482,1718627,D0020 21:23:47,AHOF
User02,22482,1733552,D0021 01:32:32,AHON
User02,22482,1733560,D0021 01:32:40,AHOF
User02,22482,1736082,D0021 02:14:42,AHON
User02,22482,1737714,D0021 02:41:54,AHON
User02,22482,1737722,D0021 02:42:02,AHOF
User02,22482,1753479,D0021 07:04:39,AHON
User02,22482,1753485,D0021 07:04:45,AHOF
User02,22482,1806597,D0021 21:49:57,AHON
User02,22482,1807534,D0021 22:05:34,AHON
User02,22482,1808164,D0021 22:16:04,AHON
User02,22482,1808551,D0021 22:22:31,AHON
User02,22482,1808664,D0021 22:24:24,AHOF
User02,22482,1808671,D0021 22:24:31,AHON
User02,22482,1808674,D0021 22:24:34,AHOF
User02,22482,1808715,D0021 22:25:15,AHON
User02,22482,1808722,D0021 22:25:22,AHOF
User02,22482,1892758,D0022 21:45:58,AHON
User02,22482,1892766,D0022 21:46:06,AHOF
User02,22482,1975125,D0023 20:38:45,AHON
User02,22482,1975133,D0023 20:38:53,AHOF
User02,22482,2063903,D0024 21:18:23,AHON
User02,22482,2063911,D0024 21:18:31,AHOF
User02,22482,2064022,D0024 21:20:22,AHON
User02,22482,2064029,D0024 21:20:29,AHOF
User02,22482,2236675,D0026 21:17:55,AHON
User02,22482,2236683,D0026 21:18:03,AHOF
User02,22482,2325391,D0027 21:56:31,AHON
User02,22482,2325399,D0027 21:56:39,AHOF
User02,22482,2422643,D0029 00:57:23,AHON
User02,22482,2422651,D0029 00:57:31,AHOF
User02,22482,2463759,D0029 12:22:39,AHON
User02,22482,2463770,D0029 12:22:50,AHOF
User02,22482,2493827,D0029 20:43:47,AHON
User02,22482,2493835,D0029 20:43:55,AHOF
User02,22482,2589708,D0030 23:21:48,AHON
User02,22482,2589716,D0030 23:21:56,AHOF
User02,22482,2608734,D0031 04:38:54,AHON
