subject_id,target,budget_nights,predictor,seed,mae,rmse,bias,n_windows,n_nights,fit_windows,fit_nights,source
User02,temperature,0,C,1,5.068392105822567,5.397573899035204,-5.068392105822567,95839,36,,,frozen_predictions
User02,humidity,0,C,1,21.6751157584665,25.8342973126049,-21.014560583977453,95839,36,,,frozen_predictions
User02,temperature,0,C,2,5.12389265921062,5.446748355860931,-5.12389265921062,95839,36,,,frozen_predictions
User02,humidity,0,C,2,22.561445093247787,26.707564907934568,-22.034037641931707,95839,36,,,frozen_predictions
User02,temperature,1,E,0,4.347667656194878,4.71978541110746,-4.347667656194878,95839,36,,,frozen_predictions
User02,humidity,1,E,0,17.217987817918416,21.200787122461925,-15.206236613858875,95839,36,,,frozen_predictions
User02,temperature,1,E,1,4.306003026325849,4.696777056594705,-4.306000568692451,95839,36,,,frozen_predictions
User02,humidity,1,E,1,16.873888159285094,20.77200800288267,-14.85112919246311,95839,36,,,frozen_predictions
User02,temperature,1,E,2,4.362827837457076,4.763961817409627,-4.362805193243741,95839,36,,,frozen_predictions
User02,humidity,1,E,2,17.775256198050663,21.925050800742365,-15.889994624410681,95839,36,,,frozen_predictions
User02,temperature,3,E,0,3.0195965075118463,3.515629526386996,-3.016444142363801,95839,36,,,frozen_predictions
User02,humidity,3,E,0,12.027385201105936,14.66365583889657,-2.4294239688497665,95839,36,,,frozen_predictions
User02,temperature,3,E,1,2.857064327900412,3.411876896785952,-2.838500300714198,95839,36,,,frozen_predictions
User02,humidity,3,E,1,12.440337548568163,15.04752704251949,-2.467983892720686,95839,36,,,frozen_predictions
User02,temperature,3,E,2,2.3985679439920364,3.0580212146061174,-2.2694865126772843,95839,36,,,frozen_predictions
User02,humidity,3,E,2,13.635921379946982,16.09288513487783,1.9571795672480967,95839,36,,,frozen_predictions
User02,temperature,7,E,0,1.9118088241160787,2.4756620328716794,-1.7805330723251116,95839,36,,,frozen_predictions
User02,humidity,7,E,0,14.94022798351683,18.383868258388638,12.03207130637518,95839,36,,,frozen_predictions
User02,temperature,7,E,1,1.9747725289186193,2.54834322649514,-1.8192191698822753,95839,36,,,frozen_predictions
User02,humidity,7,E,1,14.804560917985707,18.131039153883865,11.238277622697629,95839,36,,,frozen_predictions
User02,temperature,7,E,2,1.9861256120198576,2.5544896440031453,-1.7653457426387191,95839,36,,,frozen_predictions
User02,humidity,7,E,2,15.21502108153374,18.503512826278914,10.922582707204521,95839,36,,,frozen_predictions
User02,temperature,14,E,0,1.5226666791438146,2.003643109856889,-1.193293720100571,95839,36,,,frozen_predictions
User02,humidity,14,E,0,12.075163270105271,14.907534010651554,6.401734711607257,95839,36,,,frozen_predictions
User02,temperature,14,E,1,1.5410766037352455,2.031401584927107,-1.2138547015680259,95839,36,,,frozen_predictions
User02,humidity,14,E,1,12.40276466484662,15.196545996607838,6.733922635829467,95839,36,,,frozen_predictions
User02,temperature,14,E,2,1.5874599250980341,2.0722897027855236,-1.2286099336422696,95839,36,,,frozen_predictions
User02,humidity,14,E,2,12.225079376383027,15.046708384380677,6.158740960760746,95839,36,,,frozen_predictions
User02,temperature,14,S,0,1.5131779556067952,1.9950405698063478,-1.2117556790756072,95839,36,,,frozen_predictions
User02,humidity,14,S,0,11.877076928382701,14.625989727690353,5.921778407301518,95839,36,,,frozen_predictions
User02,temperature,14,S,1,1.6064926536474589,2.1046156748376297,-1.3473285166560287,95839,36,,,frozen_predictions
User02,humidity,14,S,1,11.3946222723021,14.054570194912966,4.438343404348216,95839,36,,,frozen_predictions
User02,temperature,14,S,2,1.578390981315206,2.0702650221245844,-1.311703251171544,95839,36,,,frozen_predictions
User02,humidity,14,S,2,11.381332949712757,14.063761647988791,4.500051633892918,95839,36,,,frozen_predictions
User02,temperature,1,D,0,2.0594676737093387,2.632981128884444,-1.8683743182208323,95839,36,3505,,reused_p8_by_seed
User02,humidity,1,D,0,15.124024040207495,18.23895442525209,10.294452040169684,95839,36,3505,,reused_p8_by_seed
User02,temperature,1,D,1,2.079385571443543,2.6441407383930313,-1.883155539844775,95839,36,3505,,reused_p8_by_seed
User02,humidity,1,D,1,15.06378482193566,18.17536148104362,10.224705563887799,95839,36,3505,,reused_p8_by_seed
User02,temperature,1,D,2,2.09138508752862,2.6635179113114864,-1.9187329139085054,95839,36,3505,,reused_p8_by_seed
User02,humidity,1,D,2,15.051886460501617,18.121021082147813,10.028768446532755,95839,36,3505,,reused_p8_by_seed
User02,temperature,3,D,0,1.88218724238415,2.4175640842897246,-1.5501125989982705,95839,36,10353,,reused_p8_by_seed
User02,humidity,3,D,0,16.72877741389128,20.323190433791435,13.650946988728757,95839,36,10353,,reused_p8_by_seed
User02,temperature,3,D,1,1.887738739014198,2.4228471381378887,-1.5572356268726253,95839,36,10353,,reused_p8_by_seed
User02,humidity,3,D,1,16.71142772986225,20.275036932031934,13.611684741311517,95839,36,10353,,reused_p8_by_seed
User02,temperature,3,D,2,1.9053177512569566,2.4486328943715447,-1.60717496945326,95839,36,10353,,reused_p8_by_seed
User02,humidity,3,D,2,16.685367177103675,20.226377395881418,13.465182288225742,95839,36,10353,,reused_p8_by_seed
User02,temperature,7,D,0,1.8946726386687838,2.433219789406867,-1.5744178325612155,95839,36,23058,,reused_p8_by_seed
User02,humidity,7,D,0,17.621335048729424,21.37882224346531,15.177955224555717,95839,36,23058,,reused_p8_by_seed
User02,temperature,7,D,1,1.8903408331702147,2.4261486900126363,-1.5623674372145788,95839,36,23058,,reused_p8_by_seed
User02,humidity,7,D,1,17.564521329904217,21.25330174099903,15.03009227501769,95839,36,23058,,reused_p8_by_seed
User02,temperature,7,D,2,1.9063907874206232,2.4499608010612466,-1.6091973955283998,95839,36,23058,,reused_p8_by_seed
User02,humidity,7,D,2,17.625850049639823,21.329136640134696,15.071060390963272,95839,36,23058,,reused_p8_by_seed
User02,temperature,14,D,0,1.609634888124721,2.017274156899649,-0.7922297596156995,95839,36,44800,,reused_p8_by_seed
User02,humidity,14,D,0,14.719094402106348,17.662071434335022,9.233907711932375,95839,36,44800,,reused_p8_by_seed
User02,temperature,14,D,1,1.6053342822140169,2.0143766438871444,-0.782628779343346,95839,36,44800,,reused_p8_by_seed
User02,humidity,14,D,1,14.652354332432736,17.600524590277317,9.164022302163518,95839,36,44800,,reused_p8_by_seed
User02,temperature,14,D,2,1.6148308140814962,2.0242144082209763,-0.8274371888476596,95839,36,44800,,reused_p8_by_seed
