subject_id,target,budget_nights,first,second,seed,role,n_nights,n_windows,first_mae,second_mae,point_estimate,ci_lower,ci_upper,interval,night_median_delta,proportion_nights_second_better,n_resamples,rng_seed,level
User01,humidity,14,B,S,0,primary,136,265852,19.094125299780064,15.889639143219142,3.2044861565609217,2.811208661232143,3.585463125708287,above_zero,3.445976250985497,0.8823529411764706,2000,0,0.95
User01,humidity,14,B,S,1,sensitivity,136,265852,19.094125299780064,15.407136965636136,3.686988334143928,3.260730994254306,4.100020664383287,above_zero,3.8181120991849307,0.9044117647058824,2000,0,0.95
User01,humidity,14,B,S,2,sensitivity,136,265852,19.094125299780064,15.980597813404907,3.1135274863751565,2.6815525385423924,3.5388131263461533,above_zero,3.140332276758734,0.8676470588235294,2000,0,0.95
User01,humidity,14,D,E,0,primary,136,265852,19.340990137309916,15.786125678465483,3.554864458844433,2.9306628726911708,4.159953689946464,above_zero,4.0170806280359255,0.8235294117647058,2000,0,0.95
User01,humidity,14,D,E,1,sensitivity,136,265852,18.341086875787614,16.515323596853243,1.825763278934371,1.3834547195158922,2.2257755949694187,above_zero,2.184573185432848,0.8455882352941176,2000,0,0.95
User01,humidity,14,D,E,2,sensitivity,136,265852,17.931866495142607,15.782843130867887,2.1490233642747203,1.441904706345679,2.844499484219255,above_zero,3.3947886042083324,0.7794117647058824,2000,0,0.95
User01,humidity,14,S,E,0,primary,136,265852,15.889639143219142,15.786125678465483,0.10351346475365908,-0.10749559011457532,0.3231712086681181,includes_zero,-0.026584933937482624,0.49264705882352944,2000,0,0.95
User01,humidity,14,S,E,1,sensitivity,136,265852,15.407136965636136,16.515323596853243,-1.108186631217107,-1.2767420912842598,-0.9481398062470054,below_zero,-1.0284505894437794,0.11764705882352941,2000,0,0.95
User01,humidity,14,S,E,2,sensitivity,136,265852,15.980597813404907,15.782843130867887,0.19775468253702044,0.002812572643578908,0.40282117044055604,above_zero,0.11242656162763875,0.5588235294117647,2000,0,0.95
User02,temperature,1,B,D,0,primary,36,95839,1.9797695907003932,2.0594676737093387,-0.07969808300894554,-0.11040634521942,-0.0472519190497973,below_zero,-0.06410032269737531,0.2777777777777778,2000,0,0.95
User02,temperature,1,B,D,1,sensitivity,36,95839,1.9797695907003932,2.079385571443544,-0.0996159807431507,-0.13046182734310716,-0.06711877405189769,below_zero,-0.07059496765196571,0.2222222222222222,2000,0,0.95
User02,temperature,1,B,D,2,sensitivity,36,95839,1.9797695907003932,2.0913850875286193,-0.11161549682822614,-0.1360351898237711,-0.08703036978985697,below_zero,-0.10427997043978965,0.08333333333333333,2000,0,0.95
User02,temperature,1,B,E,0,primary,36,95839,1.9797695907003932,4.3476676561948775,-2.3678980654944843,-2.4285268650784384,-2.2985979217519144,below_zero,-2.4051783072778603,0.0,2000,0,0.95
User02,temperature,1,B,E,1,sensitivity,36,95839,1.9797695907003932,4.30600302632585,-2.3262334356254573,-2.388321144302946,-2.2566960845444406,below_zero,-2.3683236154637415,0.0,2000,0,0.95
User02,temperature,1,B,E,2,sensitivity,36,95839,1.9797695907003932,4.362827837457079,-2.383058246756686,-2.4441936560337463,-2.3146565927092286,below_zero,-2.4279939154901347,0.0,2000,0,0.95
User02,temperature,1,D,E,0,primary,36,95839,2.0594676737093387,4.3476676561948775,-2.288199982485539,-2.3501039928096077,-2.2175848034127954,below_zero,-2.338646856185399,0.0,2000,0,0.95
User02,temperature,1,D,E,1,sensitivity,36,95839,2.079385571443544,4.30600302632585,-2.2266174548823066,-2.287829373007298,-2.1578530876416964,below_zero,-2.2865028053678746,0.0,2000,0,0.95
User02,temperature,1,D,E,2,sensitivity,36,95839,2.0913850875286193,4.362827837457079,-2.2714427499284597,-2.3362814142299526,-2.203940927332591,below_zero,-2.318623041125891,0.0,2000,0,0.95
User02,temperature,3,B,D,0,primary,36,95839,1.8081720877056513,1.8821872423841506,-0.07401515467849928,-0.10969325075289668,-0.036572066907554275,below_zero,-0.06630729844052208,0.2777777777777778,2000,0,0.95
User02,temperature,3,B,D,1,sensitivity,36,95839,1.8081720877056513,1.8877387390141975,-0.07956665130854623,-0.11509075716845245,-0.04165726051955555,below_zero,-0.06390459193145792,0.25,2000,0,0.95
User02,temperature,3,B,D,2,sensitivity,36,95839,1.8081720877056513,1.9053177512569566,-0.09714566355130527,-0.1222437036167675,-0.07204967086395499,below_zero,-0.08811860156513496,0.1111111111111111,2000,0,0.95
User02,temperature,3,B,E,0,primary,36,95839,1.8081720877056513,3.019596507511846,-1.2114244198061945,-1.2847250858719608,-1.1291689734147181,below_zero,-1.3050442042897155,0.0,2000,0,0.95
User02,temperature,3,B,E,1,sensitivity,36,95839,1.8081720877056513,2.857064327900412,-1.0488922401947607,-1.1173518661926716,-0.9761884268287137,below_zero,-1.113194866112674,0.0,2000,0,0.95
User02,temperature,3,B,E,2,sensitivity,36,95839,1.8081720877056513,2.398567943992037,-0.5903958562863856,-0.649769642250748,-0.5299602805622405,below_zero,-0.5919929442837721,0.0,2000,0,0.95
User02,temperature,3,D,E,0,primary,36,95839,1.8821872423841506,3.019596507511846,-1.1374092651276952,-1.2221364813346796,-1.045660322115132,below_zero,-1.1782105789062192,0.0,2000,0,0.95
User02,temperature,3,D,E,1,sensitivity,36,95839,1.8877387390141975,2.857064327900412,-0.9693255888862145,-1.0522200384918807,-0.8874983698276566,below_zero,-0.9708454333044039,0.0,2000,0,0.95
User02,temperature,3,D,E,2,sensitivity,36,95839,1.9053177512569566,2.398567943992037,-0.4932501927350803,-0.559377663331405,-0.43240551054359666,below_zero,-0.49399704478406764,0.0,2000,0,0.95
User02,temperature,7,B,D,0,primary,36,95839,1.8108262031824778,1.894672638668783,-0.08384643548630533,-0.11842812606182497,-0.04791998723281106,below_zero,-0.07278441501088995,0.2777777777777778,2000,0,0.95
User02,temperature,7,B,D,1,sensitivity,36,95839,1.8108262031824778,1.8903408331702152,-0.0795146299877374,-0.11510100915466856,-0.041395078702761365,below_zero,-0.06408357256147046,0.25,2000,0,0.95
User02,temperature,7,B,D,2,sensitivity,36,95839,1.8108262031824778,1.9063907874206234,-0.09556458423814562,-0.12091049384995047,-0.07017073286067196,below_zero,-0.08554338900041158,0.1111111111111111,2000,0,0.95
User02,temperature,7,B,E,0,primary,36,95839,1.8108262031824778,1.911808824116078,-0.10098262093360022,-0.1266400669496333,-0.07474837142140942,below_zero,-0.10498470997881182,0.1111111111111111,2000,0,0.95
User02,temperature,7,B,E,1,sensitivity,36,95839,1.8108262031824778,1.9747725289186193,-0.16394632573614154,-0.18730787762872864,-0.14185609829552834,below_zero,-0.16294247122624306,0.0,2000,0,0.95
User02,temperature,7,B,E,2,sensitivity,36,95839,1.8108262031824778,1.9861256120198574,-0.1752994088373796,-0.2057437266139493,-0.1440764877022267,below_zero,-0.16300797125351285,0.05555555555555555,2000,0,0.95
User02,temperature,7,D,E,0,primary,36,95839,1.894672638668783,1.911808824116078,-0.017136185447294894,-0.06521537063205157,0.02792697281877911,includes_zero,0.016016611326344687,0.5277777777777778,2000,0,0.95
User02,temperature,7,D,E,1,sensitivity,36,95839,1.8903408331702152,1.9747725289186193,-0.08443169574840415,-0.12456644161549016,-0.04578384613885219,below_zero,-0.088270382528705,0.25,2000,0,0.95
User02,temperature,7,D,E,2,sensitivity,36,95839,1.9063907874206234,1.9861256120198574,-0.07973482459923398,-0.10882636465297371,-0.05198726251324625,below_zero,-0.07335398293043038,0.16666666666666666,2000,0,0.95
User02,temperature,14,B,D,0,primary,36,95839,1.4857309605818052,1.6096348881247209,-0.12390392754291568,-0.16204106432547744,-0.08540977537220953,below_zero,-0.11804832033987622,0.16666666666666666,2000,0,0.95
User02,temperature,14,B,D,1,sensitivity,36,95839,1.4857309605818052,1.6053342822140175,-0.11960332163221232,-0.16069943700127723,-0.0783139600964813,below_zero,-0.11447026823750028,0.19444444444444445,2000,0,0.95
