span,subject_id,target,variant,scope,eta_squared,ci_lower,ci_upper,n_nights,n_windows,n_states,label
common,User02,temperature,A3_night_x_mat_centred,ON_OFF_only,0.0006124863664502517,1.2881551038951172e-05,0.002213217543517779,48,8864,2,small
common,User02,humidity,A1_raw,three_states,0.005442185127233266,6.398275493330277e-05,0.022271504022499514,51,74802,3,small
common,User02,humidity,A1_raw,ON_OFF_only,8.508618680490347e-05,2.2797636473053432e-08,0.0007205081670172001,48,8864,2,small
common,User02,humidity,A2_night_centred,three_states,0.009058243183354171,0.0008792102624994205,0.026404465738503864,51,74802,3,small
common,User02,humidity,A2_night_centred,ON_OFF_only,0.0007727242158140681,0.0001146228694032856,0.002125821021521386,48,8864,2,small
common,User02,humidity,A3_night_x_mat_centred,three_states,0.009362129642915116,0.001653066647710721,0.024815175651224368,51,74802,3,small
common,User02,humidity,A3_night_x_mat_centred,ON_OFF_only,0.0004554448485788976,5.1887623502016844e-08,0.004777841676637251,48,8864,2,small
full,User07,temperature,A1_raw,three_states,0.046776957445214845,0.03452182849401729,0.06482686584753077,100,140971,3,small
full,User07,temperature,A1_raw,ON_OFF_only,0.22669855577334724,0.17066908081136997,0.3018513145575617,90,28297,2,large
full,User07,temperature,A2_night_centred,three_states,0.1084147443553441,0.05808223943255903,0.1670965495852943,100,140971,3,medium
full,User07,temperature,A2_night_centred,ON_OFF_only,0.089854018744757,0.032803642522592026,0.15857349724937478,90,28297,2,medium
full,User07,humidity,A1_raw,three_states,0.02973420409916927,0.011986015071648922,0.05596249779368458,100,140971,3,small
full,User07,humidity,A1_raw,ON_OFF_only,0.005390963035504336,1.819831225591165e-05,0.027276513042908214,90,28297,2,small
full,User07,humidity,A2_night_centred,three_states,0.049728304491201865,0.026788564273644663,0.07912005579986052,100,140971,3,small
full,User07,humidity,A2_night_centred,ON_OFF_only,0.004112567270262378,1.81490406198978e-05,0.018206476184314212,90,28297,2,small
common,User07,temperature,A1_raw,three_states,0.020102335537722206,0.011619152159025684,0.03423580197196105,93,61782,3,small
common,User07,temperature,A1_raw,ON_OFF_only,0.11482606549971754,0.06377425322144636,0.18943991346082825,80,11960,2,medium
common,User07,temperature,A2_night_centred,three_states,0.12278801090997227,0.06838516338833377,0.19313131088309912,93,61782,3,medium
common,User07,temperature,A2_night_centred,ON_OFF_only,0.03424571464895954,0.002314009495153008,0.09621709351179812,80,11960,2,small
common,User07,humidity,A1_raw,three_states,0.028853463706594862,0.009467590429345878,0.06365808411800304,93,61782,3,small
common,User07,humidity,A1_raw,ON_OFF_only,0.00022219615900113455,4.930860512381639e-06,0.02090628104701691,80,11960,2,small
common,User07,humidity,A2_night_centred,three_states,0.05874780103498848,0.026445552713804624,0.1023875663129427,93,61782,3,small
common,User07,humidity,A2_night_centred,ON_OFF_only,0.00242409979056815,1.0907984059252957e-05,0.016658817551300498,80,11960,2,small
