scope,fold,subject_id,quantity,kind,recomputed,frozen,abs_diff,tolerance_abs,passed,target,seed,budget_nights
loso,2,User02,raw_tcn_bias_seed_mean_summary,float,-4.822480770951146,-4.822480770951146,0.0,1e-09,True,temperature,,
loso,2,User02,raw_tcn_mae_seed_mean_summary,float,24.5912486415201,24.5912486415201,0.0,1e-09,True,humidity,,
loso,2,User02,raw_tcn_rmse_seed_mean_summary,float,28.98116119922736,28.98116119922736,0.0,1e-09,True,humidity,,
loso,2,User02,raw_tcn_bias_seed_mean_summary,float,-24.173201855971215,-24.173201855971215,0.0,1e-09,True,humidity,,
loso,3,User07,held_out_subject,exact,User07,User07,,0,True,,,
loso,3,User07,n_train_windows,exact,433436,433436,,0,True,,,
loso,3,User07,n_test_windows,exact,140971,140971,,0,True,,,
loso,3,User07,training_mean,float,27.38345222824131,27.38345222824131,0.0,1e-09,True,temperature,,
loso,3,User07,training_mean_table,float,27.38345222824131,27.38345222824131,0.0,1e-09,True,temperature,,
loso,3,User07,training_mean,float,37.08287036609788,37.08287036609788,0.0,1e-09,True,humidity,,
loso,3,User07,training_mean_table,float,37.08287036609788,37.08287036609788,0.0,1e-09,True,humidity,,
loso,3,User07,training_mean_prediction_keys,exact,ok,ok,,0,True,,,
loso,3,User07,training_mean_y_true,exact,,,,0,True,,,
loso,3,User07,training_mean_prediction_is_constant,exact,,,,0,True,,,
loso,3,User07,training_mean_mae,float,1.8151603533251963,1.8151603533251963,0.0,1e-09,True,temperature,,
loso,3,User07,training_mean_mae_summary,float,1.8151603533251963,1.8151603533251963,0.0,1e-09,True,temperature,,
loso,3,User07,training_mean_rmse,float,2.168557676765581,2.168557676765581,0.0,1e-09,True,temperature,,
loso,3,User07,training_mean_rmse_summary,float,2.168557676765581,2.168557676765581,0.0,1e-09,True,temperature,,
loso,3,User07,training_mean_bias,float,1.0977480763235399,1.0977480763235399,0.0,1e-09,True,temperature,,
loso,3,User07,training_mean_bias_summary,float,1.0977480763235399,1.0977480763235399,0.0,1e-09,True,temperature,,
loso,3,User07,training_mean_mae,float,7.993739161152008,7.993739161152008,0.0,1e-09,True,humidity,,
loso,3,User07,training_mean_mae_summary,float,7.993739161152008,7.993739161152008,0.0,1e-09,True,humidity,,
loso,3,User07,training_mean_rmse,float,9.611831804132422,9.611831804132422,0.0,1e-09,True,humidity,,
loso,3,User07,training_mean_rmse_summary,float,9.611831804132422,9.611831804132422,0.0,1e-09,True,humidity,,
loso,3,User07,training_mean_bias,float,-2.1218525911060846,-2.1218525911060846,0.0,1e-09,True,humidity,,
loso,3,User07,training_mean_bias_summary,float,-2.1218525911060846,-2.1218525911060846,0.0,1e-09,True,humidity,,
loso,3,User07,raw_tcn_prediction_keys,exact,ok,ok,,0,True,,0,
loso,3,User07,raw_tcn_y_true,exact,,,,0,True,,0,
loso,3,User07,raw_tcn_mae,float,1.8652832179110528,1.8652832179110528,0.0,1e-09,True,temperature,0,
loso,3,User07,raw_tcn_rmse,float,2.32354086008119,2.32354086008119,0.0,1e-09,True,temperature,0,
loso,3,User07,raw_tcn_bias,float,0.987036235415414,0.987036235415414,0.0,1e-09,True,temperature,0,
loso,3,User07,raw_tcn_n_windows,exact,140971,140971,,0,True,temperature,0,
loso,3,User07,raw_tcn_mae,float,9.796066850817262,9.796066850817262,0.0,1e-09,True,humidity,0,
loso,3,User07,raw_tcn_rmse,float,12.085972576138474,12.085972576138474,0.0,1e-09,True,humidity,0,
loso,3,User07,raw_tcn_bias,float,1.0533293448110084,1.0533293448110084,0.0,1e-09,True,humidity,0,
loso,3,User07,raw_tcn_n_windows,exact,140971,140971,,0,True,humidity,0,
loso,3,User07,raw_tcn_prediction_keys,exact,ok,ok,,0,True,,1,
loso,3,User07,raw_tcn_y_true,exact,,,,0,True,,1,
loso,3,User07,raw_tcn_mae,float,2.2499074806839525,2.2499074806839525,0.0,1e-09,True,temperature,1,
loso,3,User07,raw_tcn_rmse,float,2.773851190325846,2.773851190325846,0.0,1e-09,True,temperature,1,
loso,3,User07,raw_tcn_bias,float,1.7767200583051042,1.7767200583051042,0.0,1e-09,True,temperature,1,
loso,3,User07,raw_tcn_n_windows,exact,140971,140971,,0,True,temperature,1,
loso,3,User07,raw_tcn_mae,float,10.311602308710736,10.311602308710736,0.0,1e-09,True,humidity,1,
loso,3,User07,raw_tcn_rmse,float,12.715562564336876,12.715562564336876,0.0,1e-09,True,humidity,1,
loso,3,User07,raw_tcn_bias,float,4.550357601099634,4.550357601099634,0.0,1e-09,True,humidity,1,
loso,3,User07,raw_tcn_n_windows,exact,140971,140971,,0,True,humidity,1,
loso,3,User07,raw_tcn_prediction_keys,exact,ok,ok,,0,True,,2,
loso,3,User07,raw_tcn_y_true,exact,,,,0,True,,2,
loso,3,User07,raw_tcn_mae,float,2.019448363803811,2.019448363803811,0.0,1e-09,True,temperature,2,
loso,3,User07,raw_tcn_rmse,float,2.5005261602649687,2.5005261602649687,0.0,1e-09,True,temperature,2,
loso,3,User07,raw_tcn_bias,float,1.436736789406948,1.436736789406948,0.0,1e-09,True,temperature,2,
loso,3,User07,raw_tcn_n_windows,exact,140971,140971,,0,True,temperature,2,
loso,3,User07,raw_tcn_mae,float,9.807635363706833,9.807635363706833,0.0,1e-09,True,humidity,2,
loso,3,User07,raw_tcn_rmse,float,12.081934860629266,12.081934860629266,0.0,1e-09,True,humidity,2,
loso,3,User07,raw_tcn_bias,float,3.6806841042732987,3.6806841042732987,0.0,1e-09,True,humidity,2,
loso,3,User07,raw_tcn_n_windows,exact,140971,140971,,0,True,humidity,2,
loso,3,User07,raw_tcn_mae_seed_mean_summary,float,2.0448796874662722,2.0448796874662722,0.0,1e-09,True,temperature,,
loso,3,User07,raw_tcn_rmse_seed_mean_summary,float,2.5326394035573347,2.5326394035573347,0.0,1e-09,True,temperature,,
loso,3,User07,raw_tcn_bias_seed_mean_summary,float,1.4001643610424885,1.4001643610424885,0.0,1e-09,True,temperature,,
loso,3,User07,raw_tcn_mae_seed_mean_summary,float,9.97176817441161,9.97176817441161,0.0,1e-09,True,humidity,,
loso,3,User07,raw_tcn_rmse_seed_mean_summary,float,12.294490000368206,12.294490000368206,0.0,1e-09,True,humidity,,
loso,3,User07,raw_tcn_bias_seed_mean_summary,float,3.0947903500613134,3.0947903500613134,0.0,1e-09,True,humidity,,
loso,,,training_mean_mae_unweighted_mean,float,3.0472941550192822,3.0472941550192822,0.0,1e-09,True,temperature,,
loso,,,raw_tcn_mae_unweighted_mean,float,3.3306513363482693,3.3306513363482693,0.0,1e-09,True,temperature,,
loso,,,training_mean_rmse_unweighted_mean,float,3.4449864190348514,3.4449864190348514,0.0,1e-09,True,temperature,,
loso,,,raw_tcn_rmse_unweighted_mean,float,3.8609728573406508,3.8609728573406508,0.0,1e-09,True,temperature,,
loso,,,training_mean_bias_unweighted_mean,float,-0.2856168399615282,-0.2856168399615282,0.0,1e-09,True,temperature,,
loso,,,raw_tcn_bias_unweighted_mean,float,-0.521570458192075,-0.521570458192075,0.0,1e-09,True,temperature,,
loso,,,training_mean_mae_unweighted_mean,float,19.560370125870918,19.560370125870918,0.0,1e-09,True,humidity,,
loso,,,raw_tcn_mae_unweighted_mean,float,18.282592059896796,18.282592059896796,0.0,1e-09,True,humidity,,
loso,,,training_mean_rmse_unweighted_mean,float,21.78656079414075,21.78656079414075,0.0,1e-09,True,humidity,,
loso,,,raw_tcn_rmse_unweighted_mean,float,21.506394980404025,21.506394980404025,0.0,1e-09,True,humidity,,
loso,,,training_mean_bias_unweighted_mean,float,-2.461501466513107,-2.461501466513107,0.0,1e-09,True,humidity,,
loso,,,raw_tcn_bias_unweighted_mean,float,-0.6783624289585384,-0.6783624289585384,0.0,1e-09,True,humidity,,
rq2,1,User01,primary_windows_digest,exact,,,,0,True,,,
rq2,1,User01,primary_test_windows,exact,265852,265852,,0,True,,,
rq2,1,User01,primary_test_nights,exact,136,136,,0,True,,,
rq2,1,User01,primary_night_ordinals_ge_16,exact,,,,0,True,,,
rq2,1,User01,A_mae,float,2.8376755609663435,2.8376755609663435,0.0,1e-09,True,temperature,,
rq2,1,User01,A_rmse,float,3.2731400154870927,3.2731400154870927,0.0,1e-09,True,temperature,,
rq2,1,User01,A_bias,float,2.750376859274342,2.750376859274342,0.0,1e-09,True,temperature,,
rq2,1,User01,A_mae,float,23.72182675677627,23.72182675677627,0.0,1e-09,True,humidity,,
rq2,1,User01,A_rmse,float,25.222821288832197,25.222821288832197,0.0,1e-09,True,humidity,,
rq2,1,User01,A_bias,float,23.717035738095024,23.717035738095024,0.0,1e-09,True,humidity,,
rq2,1,User01,C_prediction_keys,exact,ok,ok,,0,True,,0,
