subject_id,target,condition,budget_nights,R,Q,r_pooled,r_within,r_within_mat,oracle_affine,class_r_pooled,class_r_within,class_r_within_mat,within_positive_rule,J1,J2,J3,J4,J5,J6,J7,J8_cell,unmapped_within_only,status,protocol_version
User02,humidity,C,0,1.0943005345587673,0.25615954610800523,-0.25742488434227445,-0.3693980511814406,-0.10799998127732442,0.9662922481064061,negative,negative,negative,False,False,False,False,True,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User02,temperature,E,1,1.0988102580362575,0.2606412401949692,-0.2652039397686648,-0.29151966799145107,-0.005670730398593567,0.9639423300983588,negative,negative,zero,False,False,False,False,True,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User02,humidity,E,1,1.0755872135245397,0.22370217497472925,-0.23488805309727964,-0.3439695469953401,-0.07862960638598195,0.9719149208987202,negative,negative,small,False,False,False,False,True,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User02,temperature,E,3,1.1227307474910113,0.2937167225373862,-0.27976196138810944,-0.3045821562903028,-0.07197613101003995,0.9590772462020382,negative,negative,small,False,False,False,False,True,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User02,humidity,E,3,1.0967875645070864,0.29246385206870373,-0.1851992464212536,-0.298940263415163,-0.05232956853047569,0.9821624497041052,negative,negative,zero,False,False,False,False,True,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User02,temperature,E,7,1.0450864607441621,0.21114356057346942,-0.10378477197584411,-0.11070253640258439,-0.014584408290826328,0.9883561774558993,zero,zero,zero,False,True,False,False,False,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User02,humidity,E,7,1.0431343588583546,0.23427042437265044,-0.06123567448747783,-0.09419079063004963,-0.04352007312843013,0.9942495548108884,zero,zero,zero,False,True,False,False,False,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User02,temperature,E,14,0.958423969334966,0.29695716870079475,0.2825594332805868,0.30845282152125475,0.08853328881935295,0.9578454963979114,positive,positive,small,False,False,True,False,False,False,True,True,False,False,post_hoc_second_order_diagnostic,v1.2
User02,humidity,E,14,0.9886664449548973,0.23714449510827804,0.1657463394257265,0.2704845096515491,0.012479623168451854,0.9855982140765086,positive,positive,zero,False,False,True,False,False,False,True,True,False,False,post_hoc_second_order_diagnostic,v1.2
User02,temperature,S,14,0.938150518608858,0.2583993861555381,0.36137191345972747,0.40234755399310823,0.12337889494935302,0.9322933095400368,positive,positive,positive,True,False,False,True,False,False,False,False,False,False,post_hoc_second_order_diagnostic,v1.2
User02,humidity,S,14,0.9697390007650353,0.2515863783913954,0.2446455951256473,0.3695385025012759,0.02393273395897119,0.9695934478547984,positive,positive,zero,False,False,True,False,False,False,True,True,False,False,post_hoc_second_order_diagnostic,v1.2
User07,temperature,C,0,1.1414395614238613,0.6948743102361185,0.1304715766557406,-0.015448328024603547,-0.015448328024603547,0.9914258300769822,positive,zero,zero,False,False,True,False,False,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User07,humidity,C,0,1.2262787659521097,0.7269128328403985,0.017745088432744794,-0.04049482816269783,-0.04049482816269783,0.9997872673587166,zero,zero,zero,False,True,False,False,False,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
