figure,panel,series,budget_nights,value,seed_min,seed_max,unit
P5-3,temperature,User01,14,1.185073935666072,1.1132614060977635,1.269098534476052,°C
P5-3,temperature,User02,0,5.060396071292392,4.98890344884399,5.12389265921062,°C
P5-3,temperature,User02,1,4.338824472710357,4.306000568692451,4.362805193243741,°C
P5-3,temperature,User02,3,2.708143651918428,2.2694865126772843,3.016444142363801,°C
P5-3,temperature,User02,7,1.788365994948702,1.7653457426387191,1.8192191698822753,°C
P5-3,temperature,User02,14,1.211919451770289,1.193293720100571,1.2286099336422696,°C
P5-3,temperature,User07,0,1.1261350598576405,0.7129450696090569,1.5135865865834388,°C
P5-3,temperature,User07,1,1.8207027812022547,1.8012329228152293,1.8455396914838489,°C
P5-3,temperature,User07,3,2.1503381787807165,2.147791118192485,2.154417076844642,°C
P5-3,temperature,User07,7,2.087848534423866,2.0678608080619765,2.101383358176396,°C
P5-3,temperature,User07,14,2.1383175801940264,2.1237288961130054,2.1456731483036116,°C
P5-3,temperature,unweighted_mean,0,2.696407943098789,,,°C
P5-3,temperature,unweighted_mean,1,2.95763508504114,,,°C
P5-3,temperature,unweighted_mean,3,2.486921848335207,,,°C
P5-3,temperature,unweighted_mean,7,1.940289096444202,,,°C
P5-3,temperature,unweighted_mean,14,1.5117703225434624,,,°C
P5-3,humidity,User01,0,20.437775539327763,19.05009962503423,21.68217146537588,%RH
P5-3,humidity,User01,1,27.807758844613602,25.170210976932264,29.19784636999411,%RH
P5-3,humidity,User01,3,34.184078004966175,33.02841506596303,35.46464474737688,%RH
P5-3,humidity,User01,7,29.933852395210682,29.53882393435267,30.506503164061233,%RH
P5-3,humidity,User01,14,15.450535706776114,15.005017912334242,16.15697050928776,%RH
P5-3,humidity,User02,0,21.363635863272275,21.014560583977453,22.034037641931707,%RH
P5-3,humidity,User02,1,15.315786810244221,14.85112919246311,15.889994624410681,%RH
P5-3,humidity,User02,3,2.2848624762728496,1.9571795672480967,2.467983892720686,%RH
P5-3,humidity,User02,7,11.39764387875911,10.922582707204521,12.03207130637518,%RH
P5-3,humidity,User02,14,6.4314661027324895,6.158740960760746,6.733922635829467,%RH
P5-3,humidity,User07,0,3.7013212758999514,1.6681151640022924,5.195951336499712,%RH
P5-3,humidity,User07,1,2.4996672714893173,2.149162084894495,2.8065900293165424,%RH
P5-3,humidity,User07,3,1.0755923073809952,0.8331096331674248,1.2443371434540897,%RH
P5-3,humidity,User07,7,1.8334762262835131,1.7036521017313542,1.917330882290115,%RH
P5-3,humidity,User07,14,0.6789613505900536,0.53616243774828,0.8119817552558691,%RH
P5-3,humidity,unweighted_mean,0,15.167577559499996,,,%RH
P5-3,humidity,unweighted_mean,1,15.207737642115712,,,%RH
P5-3,humidity,unweighted_mean,3,12.51484426287334,,,%RH
P5-3,humidity,unweighted_mean,7,14.388324166751103,,,%RH
P5-3,humidity,unweighted_mean,14,7.520321053366218,,,%RH
P5-4,temperature,22480,0,3.4518579322012193,3.3824854364794104,3.5302227294513875,°C
P5-4,temperature,22480,1,2.6925131032679466,2.658421757281365,2.749734826382594,°C
P5-4,temperature,22480,3,1.1772083346916558,0.8204534300219829,1.4883845012118881,°C
P5-4,temperature,22480,7,0.6704210470719404,0.6505515297593983,0.702858772590134,°C
P5-4,temperature,22480,14,0.6709307903082609,0.6625675883700206,0.6865168516011334,°C
P5-4,temperature,22482,0,6.051707613669766,5.978908397336955,6.106041206215337,°C
P5-4,temperature,22482,1,5.353428464303332,5.314621071888717,5.413220973382958,°C
P5-4,temperature,22482,3,3.7328739345285613,3.371129983320283,3.963253421067893,°C
P5-4,temperature,22482,7,2.750813848345104,2.684598111234655,2.7908648112357306,°C
P5-4,temperature,22482,14,2.0924019194021652,2.0520266618595793,2.142694051089623,°C
P5-4,humidity,22480,0,13.398552735058445,13.0641363043428,13.96111552503289,%RH
P5-4,humidity,22480,1,8.932721614591946,8.739884909077139,9.210112203421387,%RH
P5-4,humidity,22480,3,8.792847551280472,6.902974021993401,12.021146706593544,%RH
P5-4,humidity,22480,7,18.48169851096136,18.444682401250585,18.543794341064824,%RH
P5-4,humidity,22480,14,11.886768137474077,11.599602670254422,12.153497834160447,%RH
P5-4,humidity,22482,0,27.27545159755122,26.916406823138566,27.86166506443096,%RH
P5-4,humidity,22482,1,22.438887067469896,21.886720066535997,23.053791967676567,%RH
P5-4,humidity,22482,3,15.109867250963681,14.631076380087878,15.513062768190942,%RH
P5-4,humidity,22482,7,12.832642465517807,12.500142289754795,13.217285904097434,%RH
P5-4,humidity,22482,14,12.44853510955141,12.368242246770635,12.556383084196403,%RH
