subject_id,budget_nights,seed,stratum_type,stratum,target,metric,value,seed_sd,n_windows,n_nights
User02,0,2,device_x_channel_quality_phase,22482/p1_response_shift,temperature,bias,-5.735185065007843,,33677,21
User02,0,2,device_x_channel_quality_phase,22482/p1_response_shift,humidity,mae,27.003222442360943,,33677,21
User02,0,2,device_x_channel_quality_phase,22482/p1_response_shift,humidity,rmse,32.08129561501525,,33677,21
User02,0,2,device_x_channel_quality_phase,22482/p1_response_shift,humidity,bias,-26.018709061302836,,33677,21
User02,1,0,device,22480,temperature,mae,2.749734826382594,,36543,30
User02,1,0,device,22480,temperature,rmse,2.8778017563203773,,36543,30
User02,1,0,device,22480,temperature,bias,-2.749734826382594,,36543,30
User02,1,0,device,22480,humidity,mae,8.848167731277307,,36543,30
User02,1,0,device,22480,humidity,rmse,10.360797725038468,,36543,30
User02,1,0,device,22480,humidity,bias,-7.073150050872953,,36543,30
User02,1,0,device,22482,temperature,mae,5.3324433476383195,,59296,35
User02,1,0,device,22482,temperature,rmse,5.558866806984387,,59296,35
User02,1,0,device,22482,temperature,bias,-5.3324433476383195,,59296,35
User02,1,0,device,22482,humidity,mae,22.376149168197127,,59296,35
User02,1,0,device,22482,humidity,rmse,25.69669056282251,,59296,35
User02,1,0,device,22482,humidity,bias,-20.2185035841637,,59296,35
User02,1,0,device_x_channel_quality_phase,22482/normal,temperature,mae,5.881604955229913,,23134,13
User02,1,0,device_x_channel_quality_phase,22482/normal,temperature,rmse,6.0911472169153305,,23134,13
User02,1,0,device_x_channel_quality_phase,22482/normal,temperature,bias,-5.881604955229913,,23134,13
User02,1,0,device_x_channel_quality_phase,22482/normal,humidity,mae,22.015330432970163,,23134,13
User02,1,0,device_x_channel_quality_phase,22482/normal,humidity,rmse,24.253265573779803,,23134,13
User02,1,0,device_x_channel_quality_phase,22482/normal,humidity,bias,-21.604949041132365,,23134,13
User02,1,0,device_x_channel_quality_phase,22482/p1_transition,temperature,mae,6.435568500846702,,2485,1
User02,1,0,device_x_channel_quality_phase,22482/p1_transition,temperature,rmse,6.631859166647981,,2485,1
User02,1,0,device_x_channel_quality_phase,22482/p1_transition,temperature,bias,-6.435568500846702,,2485,1
User02,1,0,device_x_channel_quality_phase,22482/p1_transition,humidity,mae,29.557145454313723,,2485,1
User02,1,0,device_x_channel_quality_phase,22482/p1_transition,humidity,rmse,30.647917561794046,,2485,1
User02,1,0,device_x_channel_quality_phase,22482/p1_transition,humidity,bias,-29.557145454313723,,2485,1
User02,1,0,device_x_channel_quality_phase,22482/p1_response_shift,temperature,mae,4.873804792073789,,33677,21
User02,1,0,device_x_channel_quality_phase,22482/p1_response_shift,temperature,rmse,5.0671534898445065,,33677,21
User02,1,0,device_x_channel_quality_phase,22482/p1_response_shift,temperature,bias,-4.873804792073789,,33677,21
User02,1,0,device_x_channel_quality_phase,22482/p1_response_shift,humidity,mae,22.094128942219186,,33677,21
User02,1,0,device_x_channel_quality_phase,22482/p1_response_shift,humidity,rmse,26.253801403728943,,33677,21
User02,1,0,device_x_channel_quality_phase,22482/p1_response_shift,humidity,bias,-18.577010747841108,,33677,21
User02,1,1,device,22480,temperature,mae,2.6693827261398804,,36543,30
User02,1,1,device,22480,temperature,rmse,2.80942219291043,,36543,30
User02,1,1,device,22480,temperature,bias,-2.6693762806612074,,36543,30
User02,1,1,device,22480,humidity,mae,8.739884909077139,,36543,30
User02,1,1,device,22480,humidity,rmse,10.251009422668666,,36543,30
User02,1,1,device,22480,humidity,bias,-7.007839379596876,,36543,30
User02,1,1,device,22482,temperature,mae,5.314621071888717,,59296,35
User02,1,1,device,22482,temperature,rmse,5.548917266156572,,59296,35
User02,1,1,device,22482,temperature,bias,-5.314621071888717,,59296,35
User02,1,1,device,22482,humidity,mae,21.886720066535997,,59296,35
User02,1,1,device,22482,humidity,rmse,25.15206167114058,,59296,35
User02,1,1,device,22482,humidity,bias,-19.684799922893006,,59296,35
User02,1,1,device_x_channel_quality_phase,22482/normal,temperature,mae,5.865354085357626,,23134,13
User02,1,1,device_x_channel_quality_phase,22482/normal,temperature,rmse,6.090537417965164,,23134,13
User02,1,1,device_x_channel_quality_phase,22482/normal,temperature,bias,-5.865354085357626,,23134,13
User02,1,1,device_x_channel_quality_phase,22482/normal,humidity,mae,21.306224726036266,,23134,13
User02,1,1,device_x_channel_quality_phase,22482/normal,humidity,rmse,23.483680798998055,,23134,13
