model,fold,subject_id,stratum_type,stratum,target,metric,value,seed_sd,n_windows,source
RAW,1,User01,sensor_phase,s1,temperature,mae,3.476551651298305,0.4260214829452533,151883,p3_frozen
RAW,1,User01,sensor_phase,s1,temperature,rmse,4.2083768591521,0.48575891138529737,151883,p3_frozen
RAW,1,User01,sensor_phase,s1,temperature,bias,1.3956333225546615,0.3952865108721958,151883,p3_frozen
RAW,1,User01,sensor_phase,s1,humidity,mae,22.070438537858063,1.3696728539906653,151883,p3_frozen
RAW,1,User01,sensor_phase,s1,humidity,rmse,24.599813503623384,1.3691796054005596,151883,p3_frozen
RAW,1,User01,sensor_phase,s1,humidity,bias,19.925818934757018,1.5701916376520975,151883,p3_frozen
RAW,1,User01,sensor_phase,s2,temperature,mae,2.7359719750701466,0.20902406142356017,137554,p3_frozen
RAW,1,User01,sensor_phase,s2,temperature,rmse,3.262667166849211,0.2336098489007882,137554,p3_frozen
RAW,1,User01,sensor_phase,s2,temperature,bias,2.3677003408257384,0.27800020286664023,137554,p3_frozen
RAW,1,User01,sensor_phase,s2,humidity,mae,18.313065992430058,1.2601484101760332,137554,p3_frozen
RAW,1,User01,sensor_phase,s2,humidity,rmse,21.643266165610097,1.5258467123601607,137554,p3_frozen
RAW,1,User01,sensor_phase,s2,humidity,bias,18.068900029929527,1.3093712075721193,137554,p3_frozen
RAW,2,User02,overall,all,temperature,mae,4.822480770951146,0.0634241231848851,143999,p3_frozen
RAW,2,User02,overall,all,temperature,rmse,5.257520338077413,0.056124467485345,143999,p3_frozen
RAW,2,User02,overall,all,temperature,bias,-4.822480770951146,0.0634241231848851,143999,p3_frozen
RAW,2,User02,overall,all,humidity,mae,24.5912486415201,0.5205087384349458,143999,p3_frozen
RAW,2,User02,overall,all,humidity,rmse,28.98116119922736,0.4980100054911378,143999,p3_frozen
RAW,2,User02,overall,all,humidity,bias,-24.173201855971215,0.5747502727989501,143999,p3_frozen
RAW,2,User02,device,22480,temperature,mae,3.2389454587993334,0.07798764909849049,57491,p3_frozen
RAW,2,User02,device,22480,temperature,rmse,3.3486277670900653,0.07517566182219093,57491,p3_frozen
RAW,2,User02,device,22480,temperature,bias,-3.2389454587993334,0.07798764909849049,57491,p3_frozen
RAW,2,User02,device,22480,humidity,mae,15.045428413199625,0.5012745255550568,57491,p3_frozen
RAW,2,User02,device,22480,humidity,rmse,16.82707822807868,0.4889511707577263,57491,p3_frozen
RAW,2,User02,device,22480,humidity,bias,-14.72261462844368,0.5312526011592313,57491,p3_frozen
