subject_id,target,predictor,predictor_name,seed,mae,mae_seed_sd,rmse,bias,err_sd,target_sd,R,n_windows,n_nights
User01,humidity,C,raw_tcn_base,mean,20.679409168036404,1.3384972104773045,23.587964308657536,20.437775539327763,11.776224219012528,8.584458606475415,1.3718074439929744,265852,136
User01,humidity,B,adaptation_target_mean,,19.094125299780526,,20.89804228526208,19.05348371795331,8.584458606475414,8.584458606475415,0.9999999999999998,265852,136
User01,humidity,B,adaptation_target_mean,,19.094125299780526,,20.89804228526208,19.05348371795331,8.584458606475414,8.584458606475415,0.9999999999999998,265852,136
User01,humidity,E,full_fine_tuning,0,15.786125678465487,,19.044896228737795,15.189618698706337,11.48840964412838,8.584458606475415,1.3382800442956835,265852,136
User01,humidity,E,full_fine_tuning,1,16.515323596853243,,19.435739087339467,16.15697050928776,10.802789354289045,8.584458606475415,1.2584124229034435,265852,136
User01,humidity,E,full_fine_tuning,2,15.78284313086788,,19.040774101684192,15.005017912334242,11.72179661322853,8.584458606475415,1.365467194912742,265852,136
User01,humidity,E,full_fine_tuning,mean,16.02809746872887,0.4219533963899137,19.173803139253817,15.450535706776114,11.337665203881985,8.584458606475415,1.320719887370623,265852,136
User01,humidity,S,scratch_initialization_control,0,15.889639143219139,,18.98790636891007,15.432831863558558,11.06202011142754,8.584458606475415,1.2886101056021464,265852,136
User01,humidity,S,scratch_initialization_control,1,15.407136965636143,,18.585535070563818,14.82154407002788,11.213560774320484,8.584458606475415,1.3062630141709681,265852,136
User01,humidity,S,scratch_initialization_control,2,15.980597813404904,,19.131577886162358,15.48196044748463,11.2394916751968,8.584458606475415,1.309283693990748,265852,136
User01,humidity,S,scratch_initialization_control,mean,15.759124640753397,0.3082042545071805,18.901673108545413,15.245445460357024,11.171690853648274,8.584458606475415,1.3013856045879544,265852,136
User02,temperature,C,raw_tcn_base,mean,5.060396071292392,0.06784890680775464,5.3890008227604325,-5.060396071292392,1.852900242357028,1.7066896776370382,1.0856690976899928,95839,36
User02,temperature,B,adaptation_target_mean,,1.4857309605818627,,1.9192358190410976,-0.877881810574485,1.7066896776370384,1.7066896776370382,1.0000000000000002,95839,36
User02,temperature,B,adaptation_target_mean,,1.4857309605818627,,1.9192358190410976,-0.877881810574485,1.7066896776370384,1.7066896776370382,1.0000000000000002,95839,36
User02,temperature,E,full_fine_tuning,0,1.5226666791438146,,2.003643109856889,-1.193293720100571,1.6095452181425427,1.7066896776370382,0.9430801857142566,95839,36
User02,temperature,E,full_fine_tuning,1,1.5410766037352455,,2.031401584927107,-1.2138547015680259,1.6288490300594347,1.7066896776370382,0.9543908605075903,95839,36
User02,temperature,E,full_fine_tuning,2,1.5874599250980341,,2.0722897027855236,-1.2286099336422696,1.6688026375897338,1.7066896776370382,0.9778008617830513,95839,36
