model,config_fold,seed,target,mae,rmse,bias,R,Q,r_pooled,r_within,target_sd,identity_gap,constant_prediction,n_windows,n_nights,per_night_r_median,n_nights_eligible,n_nights_too_few_windows,n_nights_zero_target_sd,n_nights_zero_prediction_sd,n_nights_total,protocol_version,status
raw_tcn,2,1,temperature,2.562842234659584,2.8240605487030224,-2.4660899616171412,1.3859313562389348,0.931974459531244,-0.028020795234028426,-0.020900789823544152,0.9929239024866404,2.220446049250313e-16,False,13749,7,-0.014004522575132003,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
raw_tcn,2,1,humidity,19.61519276310199,22.076088696147504,-19.40373504291606,2.6744306548169505,2.5286741887108595,0.04777480355250494,0.09136090938388154,3.936715907570403,1.7763568394002505e-15,False,13749,7,0.07153698896374544,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
raw_tcn,2,2,temperature,2.6487536833181546,2.8535014918196633,-2.617307483796208,1.144838557524711,0.5768335080847589,0.019140335074695,0.028274740032834537,0.9929239024866404,0.0,False,13749,7,0.05814795511482436,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
raw_tcn,2,2,humidity,20.149889356268844,21.981316447353148,-20.068002203773833,2.2784450483222165,2.0979625205216417,0.05008070860037166,0.08192103438809546,3.936715907570403,8.881784197001252e-16,False,13749,7,0.06251618621135806,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
raw_tcn,3,0,temperature,2.5984782313208363,2.8193640937529634,-2.571157363896658,1.1649470888331994,0.6035671931131952,0.005957610771138991,0.014109513942175005,0.9929239024866404,2.220446049250313e-16,False,13749,7,0.060790865554321935,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
raw_tcn,3,0,humidity,20.98035745684343,23.0848514135345,-20.941651376073715,2.467484160325969,2.2985255581237625,0.04236230030166954,0.08080033709184649,3.936715907570403,2.6645352591003757e-15,False,13749,7,0.04846541577698999,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
raw_tcn,3,1,temperature,2.72767236636946,2.9660827555286855,-2.6906176270904996,1.2571842654713996,0.7692830974091265,0.007334235373506289,0.015842957289625214,0.9929239024866404,2.220446049250313e-16,False,13749,7,0.02165428724583896,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
raw_tcn,3,1,humidity,20.930746298729517,22.960852861630897,-20.8731906782505,2.429974993525369,2.2481286932540976,0.03320631793050231,0.06424898446481517,3.936715907570403,2.6645352591003757e-15,False,13749,7,0.05199901382262639,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
raw_tcn,3,2,temperature,2.845132438885515,3.050701598988725,-2.823893392508071,1.1625252164798388,0.6009906868540842,0.008090746617683315,0.01440936050582202,0.9929239024866404,0.0,False,13749,7,0.04122133624523781,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
raw_tcn,3,2,humidity,20.576539772924523,22.170712887478118,-20.54922521352384,2.1141610046077486,1.9005596234024822,0.03747583789260985,0.06938174403124411,3.936715907570403,1.7763568394002505e-15,False,13749,7,0.0444140616073523,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
