stratum_type,stratum,target,seed,quantity,point_estimate,ci_lower,ci_upper,interval,n_nights,n_windows,n_resamples,rng_seed,note
22482_quality_phase,22482/p1_response_shift,humidity,0,bias_b0,-24.822615924438836,-32.774716025514046,-16.853180359621845,below_zero,21,33677,2000,0,
22482_quality_phase_x_heater,22482/p1_response_shift/after_AHON_60min,temperature,0,,,,,,7,8,,,descriptive only (< 10 nights)
22482_quality_phase_x_heater,22482/p1_response_shift/after_AHON_60min,humidity,0,,,,,,7,8,,,descriptive only (< 10 nights)
22482_quality_phase_x_heater,22482/p1_response_shift/after_AHOF_60min,temperature,0,delta_mae_b0_minus_b14,3.524191810163897,3.274208708447418,3.757332490675205,above_zero,19,5467,2000,0,
22482_quality_phase_x_heater,22482/p1_response_shift/after_AHOF_60min,temperature,0,bias_b14,-1.0052525822644092,-1.5444145495566495,-0.5134803536388101,below_zero,19,5467,2000,0,
22482_quality_phase_x_heater,22482/p1_response_shift/after_AHOF_60min,temperature,0,bias_b0,-4.856138541606211,-5.430281124169561,-4.310547428448434,below_zero,19,5467,2000,0,
22482_quality_phase_x_heater,22482/p1_response_shift/after_AHOF_60min,humidity,0,delta_mae_b0_minus_b14,13.47674734785468,2.201306704319021,23.167198897940057,above_zero,19,5467,2000,0,
22482_quality_phase_x_heater,22482/p1_response_shift/after_AHOF_60min,humidity,0,bias_b14,0.3452114592296665,-7.439321175707593,9.353836373365146,includes_zero,19,5467,2000,0,
22482_quality_phase_x_heater,22482/p1_response_shift/after_AHOF_60min,humidity,0,bias_b0,-28.75599483048495,-36.59965829990451,-19.826268722396378,below_zero,19,5467,2000,0,
22482_quality_phase_x_heater,22482/p1_response_shift/no_AHON_AHOF_60min,temperature,0,delta_mae_b0_minus_b14,3.795746754485532,3.6876632071591957,3.903145687254775,above_zero,21,28202,2000,0,
22482_quality_phase_x_heater,22482/p1_response_shift/no_AHON_AHOF_60min,temperature,0,bias_b14,-1.7690043255537133,-2.2205796855221718,-1.2953358603138887,below_zero,21,28202,2000,0,
22482_quality_phase_x_heater,22482/p1_response_shift/no_AHON_AHOF_60min,temperature,0,bias_b0,-5.701818939758868,-6.143314407200996,-5.238469169666488,below_zero,21,28202,2000,0,
22482_quality_phase_x_heater,22482/p1_response_shift/no_AHON_AHOF_60min,humidity,0,delta_mae_b0_minus_b14,10.165368015152776,-0.6931639368933569,20.861010365862267,includes_zero,21,28202,2000,0,
22482_quality_phase_x_heater,22482/p1_response_shift/no_AHON_AHOF_60min,humidity,0,bias_b14,4.71704371263901,-2.928817669070395,12.619795863209381,includes_zero,21,28202,2000,0,
22482_quality_phase_x_heater,22482/p1_response_shift/no_AHON_AHOF_60min,humidity,0,bias_b0,-24.05696215611451,-32.04240526782546,-15.831702006084873,below_zero,21,28202,2000,0,
22482_quality_phase,22482/p1_transition,temperature,0,,,,,,1,2485,,,descriptive only (< 10 nights)
22482_quality_phase,22482/p1_transition,humidity,0,,,,,,1,2485,,,descriptive only (< 10 nights)
22482_quality_phase_x_heater,22482/p1_transition/after_AHOF_60min,temperature,0,,,,,,1,553,,,descriptive only (< 10 nights)
22482_quality_phase_x_heater,22482/p1_transition/after_AHOF_60min,humidity,0,,,,,,1,553,,,descriptive only (< 10 nights)
22482_quality_phase_x_heater,22482/p1_transition/no_AHON_AHOF_60min,temperature,0,,,,,,1,1932,,,descriptive only (< 10 nights)
22482_quality_phase_x_heater,22482/p1_transition/no_AHON_AHOF_60min,humidity,0,,,,,,1,1932,,,descriptive only (< 10 nights)
