subject_id,fold,target,condition,condition_name,budget_nights,seed,R,Q,r_pooled,r_within,r_within_mat,r2_pooled,oracle_affine,identity_gap,mae,rmse,bias,target_sd,constant_prediction,n_windows,n_nights,status,per_night_r_median,n_nights_eligible,n_nights_too_few_windows,n_nights_zero_target_sd,n_nights_zero_prediction_sd,n_nights_total,protocol_version
User01,1,temperature,D,raw_tcn_bias_calibrated,14,2,1.8257267370423862,1.5531099453592574,0.025391758084503276,0.030873143290586876,0.030873143290586876,0.0006447413786219375,0.9996775773325007,4.440892098500626e-16,2.6772860251189026,3.3355677007604903,0.7936897639937857,1.7745063237281102,False,265852,136,post_hoc_second_order_diagnostic,0.03395352648949117,136,0,0,0,136,v1.2
User01,1,humidity,D,raw_tcn_bias_calibrated,14,2,1.4538992160232125,1.0854311219981136,0.029636975090015873,-0.026046033254499522,-0.026046033254499522,0.0008783502924862213,0.9995607283739762,0.0,17.931866495142593,21.282499008682212,17.238647270956438,8.584458606475415,False,265852,136,post_hoc_second_order_diagnostic,-0.047924483124097125,136,0,0,0,136,v1.2
User01,1,temperature,E,full_fine_tuning,1,0,1.3724315597353782,1.0237883320700936,0.08037509198430365,0.005637820652762321,0.005637820652762321,0.0064601554114852725,0.9967646886745711,2.220446049250313e-16,2.8186030413563867,3.3800514402621937,2.343849543452121,1.7745063237281102,False,265852,136,post_hoc_second_order_diagnostic,0.021341748620942402,136,0,0,0,136,v1.2
User01,1,humidity,E,full_fine_tuning,1,0,1.3940872339672017,0.8821071439287785,-0.09373362616904991,-0.0244009272594632,-0.0244009272594632,0.008785992674799199,0.9955973118310438,2.220446049250313e-16,25.203912986262054,27.870417965917003,25.170210976932264,8.584458606475415,False,265852,136,post_hoc_second_order_diagnostic,-0.007103193686147952,136,0,0,0,136,v1.2
User01,1,temperature,E,full_fine_tuning,1,1,1.4743188977043247,1.1826938023847111,0.09518457677597376,0.025548113935901305,0.025548113935901305,0.009060103656021244,0.9954596407408884,8.881784197001252e-16,3.442643043126967,4.047149462387312,3.0878759747723104,1.7745063237281102,False,265852,136,post_hoc_second_order_diagnostic,0.02509780953274069,136,0,0,0,136,v1.2
User01,1,humidity,E,full_fine_tuning,1,1,1.427697745311229,0.9461360726132573,-0.07564841263865481,-0.06487075599564357,-0.06487075599564357,0.005722682334748188,0.9971345534406336,4.440892098500626e-16,29.216494217473198,31.665818600239362,29.19784636999411,8.584458606475415,False,265852,136,post_hoc_second_order_diagnostic,-0.018738444011443416,136,0,0,0,136,v1.2
User01,1,temperature,E,full_fine_tuning,1,2,1.4388830303884312,1.033745721868024,-0.0008484473610122948,0.02077422970672929,0.02077422970672929,7.198629244087273e-07,0.9999996400684731,0.0,3.1723153194994818,3.7222108143709796,2.708408485407997,1.7745063237281102,False,265852,136,post_hoc_second_order_diagnostic,0.013970111669814964,136,0,0,0,136,v1.2
User01,1,humidity,E,full_fine_tuning,1,2,1.4842091421809203,1.023681992897628,-0.07568363819312607,-0.0863726296293592,-0.0863726296293592,0.005728013090148011,0.9971318803999057,4.440892098500626e-16,29.074082516128374,31.72604931636408,29.055219186914435,8.584458606475415,False,265852,136,post_hoc_second_order_diagnostic,-0.0694585994335418,136,0,0,0,136,v1.2
User01,1,temperature,E,full_fine_tuning,3,0,1.1852496809762432,0.587047040030722,-0.051267253678941596,-0.022131605671433286,-0.022131605671433286,0.0026283312997809507,0.9986849696977617,6.661338147750939e-16,2.795496356198685,3.3006697959527713,2.5437829746466343,1.7745063237281102,False,265852,136,post_hoc_second_order_diagnostic,-0.031530412748885205,136,0,0,0,136,v1.2
User01,1,humidity,E,full_fine_tuning,3,0,1.46602371794591,0.9529904710700123,-0.12646228422361502,-0.04512300432179901,-0.04512300432179901,0.01599270933105439,0.9919714162560057,4.440892098500626e-16,33.03066884306808,35.34485716801323,33.02841506596303,8.584458606475415,False,265852,136,post_hoc_second_order_diagnostic,-0.013986220697004989,136,0,0,0,136,v1.2
User01,1,temperature,E,full_fine_tuning,3,1,1.200139318053406,0.6380497732562717,-0.02603783511726808,0.014616386354968834,0.014616386354968834,0.0006779688575940388,0.9996609580964968,4.440892098500626e-16,2.802724119075196,3.301718420192938,2.5230764791658844,1.7745063237281102,False,265852,136,post_hoc_second_order_diagnostic,0.01171629228269206,136,0,0,0,136,v1.2
User01,1,humidity,E,full_fine_tuning,3,1,1.4108363991733595,0.8678091650280074,-0.1367619794140933,-0.07939886697433175,-0.07939886697433175,0.01870383901326088,0.9906039374980997,2.220446049250313e-16,34.063584038663954,36.14844571520185,34.059174201558626,8.584458606475415,False,265852,136,post_hoc_second_order_diagnostic,-0.04218090247831757,136,0,0,0,136,v1.2
